DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Feb-2026,EQ,"46.19","46.57","45.71","46.21","45.90","45.94","46.16","74.30","44.88",39827932,"1,83,85,18,048.97",65924
16-Feb-2026,EQ,"45.67","46.33","45.34","45.67","46.28","46.21","45.94","74.30","44.88",39325966,"1,80,67,45,508.64",76683
13-Feb-2026,EQ,"46.60","46.74","45.55","46.81","45.70","45.67","46.01","74.30","44.88",52618195,"2,42,10,15,877.61",114465
12-Feb-2026,EQ,"47.30","47.55","46.72","47.38","46.82","46.81","46.97","74.30","44.88",38946281,"1,82,94,96,293.18",73700
11-Feb-2026,EQ,"47.71","47.74","46.70","47.69","47.44","47.38","47.11","74.30","44.88",57124692,"2,69,11,91,838.41",95145
10-Feb-2026,EQ,"48.20","48.39","47.55","48.19","47.64","47.69","47.91","74.30","44.88",40362194,"1,93,36,59,827.83",77149
09-Feb-2026,EQ,"48.26","48.57","47.61","48.04","48.14","48.19","48.15","74.30","44.88",51743958,"2,49,15,49,237.58",96944
06-Feb-2026,EQ,"47.85","48.20","47.25","47.85","48.05","48.04","47.74","74.30","44.88",57960744,"2,76,72,57,942.91",87203
05-Feb-2026,EQ,"50.00","50.02","47.00","49.77","47.76","47.85","48.29","74.30","44.88",121302173,"5,85,79,21,055.73",147974
04-Feb-2026,EQ,"49.26","50.00","48.80","49.16","49.84","49.77","49.48","74.30","44.88",55580192,"2,75,02,78,358.48",93781
03-Feb-2026,EQ,"49.31","49.69","48.42","46.99","49.26","49.16","49.09","74.30","44.88",78516505,"3,85,41,58,987.74",141534
02-Feb-2026,EQ,"46.50","47.25","45.41","46.17","47.22","46.99","46.26","74.30","44.88",45471127,"2,10,32,76,709.03",96318
01-Feb-2026,EQ,"48.21","48.95","45.95","47.67","46.35","46.17","47.59","74.30","44.88",67892850,"3,23,08,75,297.30",134744
30-Jan-2026,EQ,"47.43","47.97","46.79","47.44","47.68","47.67","47.46","74.30","44.88",60762661,"2,88,35,96,917.42",97731
29-Jan-2026,EQ,"48.03","48.09","46.63","47.80","47.55","47.44","47.26","74.30","44.88",55397230,"2,61,80,86,487.83",100924
28-Jan-2026,EQ,"46.01","48.00","46.01","45.79","47.99","47.80","47.22","74.30","44.88",59993734,"2,83,26,53,741.93",117917
27-Jan-2026,EQ,"45.85","46.25","44.88","45.70","46.18","45.79","45.58","74.30","44.88",62941841,"2,86,88,31,553.14",151043
23-Jan-2026,EQ,"47.40","47.40","45.55","46.99","45.80","45.70","46.32","74.30","45.37",49252985,"2,28,13,48,162.35",98333
