DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Feb-2025,EQ,"51.00","51.69","49.50","51.14","51.49","51.42","50.54","86.04","35.50",46742293,"2,36,23,21,617.01",159791
14-Feb-2025,EQ,"53.55","53.88","50.45","53.35","51.04","51.14","51.66","86.04","35.50",45983899,"2,37,56,77,468.21",141836
13-Feb-2025,EQ,"52.81","53.95","52.29","52.40","53.18","53.35","53.36","86.04","35.50",41607228,"2,22,01,36,879.13",104725
12-Feb-2025,EQ,"51.99","52.99","49.05","51.99","52.49","52.40","51.27","86.04","35.50",69163693,"3,54,57,42,059.44",161009
11-Feb-2025,EQ,"52.85","53.05","50.32","52.72","52.09","51.99","51.44","86.04","35.50",49471491,"2,54,48,47,178.38",165533
10-Feb-2025,EQ,"53.39","54.39","52.31","53.61","52.90","52.72","53.42","86.04","35.50",31170558,"1,66,52,29,863.60",107553
07-Feb-2025,EQ,"54.97","55.08","52.92","54.92","53.84","53.61","53.88","86.04","35.50",38821987,"2,09,16,01,516.77",173865
06-Feb-2025,EQ,"55.91","56.38","54.55","55.90","54.96","54.92","55.26","86.04","35.50",31769107,"1,75,55,94,546.35",130278
05-Feb-2025,EQ,"57.24","57.77","55.77","56.92","55.99","55.90","56.71","86.04","35.50",37787329,"2,14,28,91,185.64",110642
04-Feb-2025,EQ,"57.19","57.98","55.96","56.37","56.85","56.92","56.88","86.04","35.50",42367489,"2,40,98,70,158.65",123370
03-Feb-2025,EQ,"57.78","59.10","55.41","58.16","56.31","56.37","56.69","86.04","35.50",93425367,"5,29,63,25,297.39",218751
01-Feb-2025,EQ,"60.50","61.07","56.51","58.17","58.27","58.16","60.07","86.04","35.50",168912946,"10,14,72,93,950.24",328529
31-Jan-2025,EQ,"57.00","58.17","56.55","55.40","58.17","58.17","57.83","86.04","35.50",111500110,"6,44,79,49,607.88",135244
30-Jan-2025,EQ,"55.40","55.40","55.40","52.77","55.40","55.40","55.40","86.04","35.50",10961611,"60,72,73,249.40",13035
29-Jan-2025,EQ,"52.77","52.77","52.77","50.26","52.77","52.77","52.77","86.04","35.50",13990368,"73,82,71,719.36",18083
28-Jan-2025,EQ,"50.59","51.59","47.81","50.23","50.44","50.26","49.46","86.04","35.50",86563217,"4,28,11,22,943.83",207094
27-Jan-2025,EQ,"52.40","52.48","49.91","52.54","50.13","50.23","50.36","86.04","35.50",66288203,"3,33,84,76,478.90",187096
24-Jan-2025,EQ,"54.90","54.99","52.15","54.31","52.78","52.54","52.92","86.04","35.50",64210167,"3,39,79,23,493.17",179102
23-Jan-2025,EQ,"55.12","56.64","54.19","55.12","54.31","54.31","55.05","86.04","35.50",49582278,"2,72,92,72,045.78",134179
22-Jan-2025,EQ,"57.43","57.84","54.55","57.43","55.00","55.12","55.33","86.04","35.50",48986568,"2,71,03,01,222.03",156997
21-Jan-2025,EQ,"58.35","58.47","56.35","58.09","57.35","57.43","57.16","86.04","35.50",33972001,"1,94,18,32,661.66",97430
20-Jan-2025,EQ,"57.52","58.79","56.26","56.84","57.95","58.09","57.59","86.04","35.50",49547406,"2,85,33,22,405.66",135421
17-Jan-2025,EQ,"57.00","57.39","55.94","56.87","56.99","56.84","56.58","86.04","35.50",41806502,"2,36,52,74,550.37",117005
16-Jan-2025,EQ,"58.76","59.19","56.70","57.26","57.10","56.87","57.43","86.04","35.50",39797323,"2,28,54,77,077.03",147007
15-Jan-2025,EQ,"57.17","59.80","56.81","57.17","57.27","57.26","58.00","86.04","35.50",65243228,"3,78,41,40,259.06",169337
14-Jan-2025,EQ,"55.20","57.17","55.11","54.45","57.17","57.17","56.66","86.04","35.50",41045252,"2,32,55,37,583.11",97691
13-Jan-2025,EQ,"54.50","57.00","53.98","55.57","54.34","54.45","55.64","86.04","35.50",92083914,"5,12,35,04,141.10",301171
10-Jan-2025,EQ,"58.00","58.15","55.50","57.88","55.59","55.57","56.26","86.04","35.50",64397011,"3,62,26,79,444.60",208078
09-Jan-2025,EQ,"60.34","60.35","57.65","60.03","57.94","57.88","58.65","86.04","35.50",35053006,"2,05,60,00,203.24",139036
08-Jan-2025,EQ,"60.80","61.00","59.00","60.88","60.05","60.03","59.70","86.04","35.50",37159538,"2,21,83,27,888.58",117556
07-Jan-2025,EQ,"58.06","61.79","58.06","58.85","60.85","60.88","60.37","86.04","35.50",59115926,"3,56,88,16,266.16",156943
06-Jan-2025,EQ,"62.05","62.12","58.85","61.95","58.85","58.85","59.64","86.04","35.50",62445389,"3,72,39,36,962.53",324342
03-Jan-2025,EQ,"63.00","63.25","61.80","62.92","62.05","61.95","62.27","86.04","35.50",42686992,"2,65,83,24,459.13",177470
02-Jan-2025,EQ,"65.00","65.10","62.55","65.33","62.99","62.92","63.39","86.04","35.50",67889756,"4,30,36,23,686.32",200728
01-Jan-2025,EQ,"62.64","65.33","62.07","62.22","65.33","65.33","64.65","86.04","35.50",62229972,"4,02,33,23,416.24",104784
