DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
15-Feb-2024,EQ,"46.95","47.75","46.50","46.05","46.95","47.05","47.15","50.60","6.95",44781950,"2,11,13,93,023.95",122186
14-Feb-2024,EQ,"42.45","46.05","42.05","43.90","46.05","46.05","44.68","50.60","6.95",59861806,"2,67,44,91,206.15",135080
13-Feb-2024,EQ,"43.65","44.65","42.75","45.00","43.85","43.90","43.05","50.60","6.95",135410453,"5,82,95,90,162.80",193024
12-Feb-2024,EQ,"47.95","48.20","45.00","47.35","45.00","45.00","45.55","50.60","6.95",65398403,"2,97,89,37,321.35",173192
09-Feb-2024,EQ,"49.35","49.40","46.90","49.35","47.70","47.35","47.47","50.60","6.95",90732188,"4,30,67,76,886.55",221402
08-Feb-2024,EQ,"49.50","49.75","48.50","49.25","49.30","49.35","49.12","50.60","6.95",53850076,"2,64,51,14,247.30",147234
07-Feb-2024,EQ,"48.20","49.95","48.20","48.00","49.35","49.25","49.23","50.60","6.95",64866228,"3,19,30,42,184.65",166265
06-Feb-2024,EQ,"48.80","48.80","47.20","48.25","48.20","48.00","47.92","50.60","6.95",53168885,"2,54,77,11,427.75",171375
05-Feb-2024,EQ,"49.60","50.00","47.50","48.60","48.30","48.25","49.01","50.60","6.95",112297989,"5,50,40,96,946.90",370377
02-Feb-2024,EQ,"49.90","50.60","48.00","48.20","48.90","48.60","49.77","50.60","6.95",219513812,"10,92,58,58,093.95",451216
01-Feb-2024,EQ,"47.30","48.20","47.00","45.95","48.20","48.20","48.02","48.20","6.95",195541083,"9,38,90,28,209.45",228620
31-Jan-2024,EQ,"44.40","45.95","44.20","43.80","45.95","45.95","45.35","45.95","6.95",145374835,"6,59,33,26,883.45",202852
30-Jan-2024,EQ,"43.50","44.85","42.75","43.25","44.00","43.80","44.08","45.70","6.95",88270852,"3,89,11,47,685.15",153942
29-Jan-2024,EQ,"43.00","43.85","42.55","42.55","43.05","43.25","43.10","45.70","6.95",64987571,"2,80,07,03,180.00",164257
25-Jan-2024,EQ,"41.65","43.00","40.90","41.20","42.45","42.55","41.89","45.70","6.95",53839790,"2,25,56,03,279.70",122012
24-Jan-2024,EQ,"41.60","41.60","40.35","41.15","41.20","41.20","41.09","45.70","6.95",33524849,"1,37,75,10,391.25",97752
23-Jan-2024,EQ,"42.50","43.00","40.20","41.80","41.30","41.15","41.31","45.70","6.95",61821069,"2,55,39,04,612.25",167425
20-Jan-2024,EQ,"42.00","42.45","41.25","41.85","42.00","41.80","41.90","45.70","6.95",39948658,"1,67,38,57,681.15",106109
19-Jan-2024,EQ,"43.50","44.45","41.45","42.90","41.70","41.85","42.91","45.70","6.95",118653572,"5,09,13,66,741.85",186448
18-Jan-2024,EQ,"40.90","42.90","40.10","40.90","42.90","42.90","42.08","45.70","6.95",77361249,"3,25,56,50,126.10",116074
17-Jan-2024,EQ,"41.50","42.65","40.35","42.05","41.00","40.90","41.31","45.70","6.95",62350656,"2,57,57,98,900.85",146117
16-Jan-2024,EQ,"44.00","44.20","41.65","43.85","42.20","42.05","42.55","45.70","6.95",73662300,"3,13,40,25,129.50",170758
15-Jan-2024,EQ,"45.20","45.70","43.70","44.90","43.90","43.85","44.35","45.70","6.95",73414515,"3,25,60,27,486.80",158047
09-Oct-2023,EQ,"28.20","28.35","27.65","29.10","27.65","27.65","27.78","29.80","6.60",151080200,"4,19,70,53,474.00",121174
06-Oct-2023,EQ,"28.85","29.80","28.40","29.50","29.25","29.10","29.10","29.80","6.60",273969163,"7,97,13,59,424.75",186591
05-Oct-2023,EQ,"28.60","29.50","28.55","28.10","29.50","29.50","29.23","29.50","6.60",285672016,"8,34,97,54,206.90",173158
04-Oct-2023,EQ,"27.35","28.25","27.10","26.95","28.25","28.10","27.90","28.25","6.60",346015638,"9,65,29,79,150.20",190195
03-Oct-2023,EQ,"25.95","27.05","25.75","25.80","27.05","26.95","26.83","27.05","6.60",215807142,"5,79,02,15,677.30",128269
29-Sep-2023,EQ,"25.85","26.20","25.55","25.65","25.75","25.80","25.84","27.05","6.60",76660245,"1,98,07,93,137.05",63126
28-Sep-2023,EQ,"25.70","26.40","25.45","25.65","25.70","25.65","25.81","27.05","6.60",75375280,"1,94,52,98,365.85",64661
27-Sep-2023,EQ,"25.10","25.90","25.05","26.00","25.60","25.65","25.57","27.05","6.60",94771055,"2,42,36,77,465.75",80335
26-Sep-2023,EQ,"25.60","26.10","24.95","25.50","25.95","26.00","25.60","27.05","6.60",110565689,"2,83,00,86,177.35",74257
25-Sep-2023,EQ,"25.75","26.05","25.10","25.05","25.45","25.50","25.48","27.05","6.60",71458712,"1,82,07,21,085.05",76228
22-Sep-2023,EQ,"25.65","25.85","24.50","25.50","25.20","25.05","25.21","27.05","6.60",95275738,"2,40,19,16,375.40",87012
21-Sep-2023,EQ,"25.85","26.25","25.15","25.85","25.50","25.50","25.76","27.05","6.60",166438893,"4,28,79,05,696.75",113873
20-Sep-2023,EQ,"24.95","25.95","24.50","24.75","25.95","25.85","25.28","27.05","6.60",166418138,"4,20,75,10,722.60",125036
18-Sep-2023,EQ,"24.70","25.10","24.50","24.20","24.85","24.75","24.82","27.05","6.60",142270040,"3,53,15,05,975.00",111369
15-Sep-2023,EQ,"23.60","24.40","23.15","23.25","24.40","24.20","23.97","27.05","6.60",225766744,"5,41,16,34,412.15",103751
14-Sep-2023,EQ,"22.35","23.25","21.75","22.15","23.25","23.25","23.02","27.05","6.60",178268509,"4,10,40,95,481.70",94929
13-Sep-2023,EQ,"22.20","22.50","21.70","22.80","22.35","22.15","21.92","27.05","6.60",236321372,"5,17,96,83,693.30",120833
12-Sep-2023,EQ,"24.15","24.20","22.80","24.00","22.80","22.80","23.01","27.05","6.60",146034046,"3,36,02,57,456.50",120723
11-Sep-2023,EQ,"24.30","24.40","23.75","24.05","24.05","24.00","24.06","27.05","6.60",93344063,"2,24,62,00,750.60",113665
08-Sep-2023,EQ,"24.20","24.30","23.65","24.10","24.00","24.05","23.96","27.05","6.60",87741294,"2,10,23,91,565.45",82876
07-Sep-2023,EQ,"24.10","24.95","23.55","23.80","24.15","24.10","24.26","27.05","6.60",170673034,"4,13,97,60,249.65",118583
06-Sep-2023,EQ,"23.80","24.40","23.40","23.60","23.85","23.80","23.82","27.05","6.60",107987698,"2,57,19,01,185.80",104500
05-Sep-2023,EQ,"24.60","24.90","23.50","24.10","23.65","23.60","23.93","27.05","6.60",131411045,"3,14,49,60,891.95",162039
04-Sep-2023,EQ,"25.45","25.70","23.85","25.00","24.50","24.10","24.79","27.05","6.60",189499859,"4,69,71,94,711.55",208504
01-Sep-2023,EQ,"24.55","25.75","23.95","24.55","25.00","25.00","25.17","27.05","6.60",209113483,"5,26,40,39,025.90",166485
31-Aug-2023,EQ,"26.50","27.05","24.55","25.85","24.55","24.55","25.24","27.05","6.60",413958502,"10,44,82,14,718.95",301834
30-Aug-2023,EQ,"25.85","25.85","25.35","24.65","25.85","25.85","25.82","25.85","6.60",88452282,"2,28,41,16,292.60",40081
29-Aug-2023,EQ,"24.00","24.65","23.95","23.50","24.65","24.65","24.48","24.65","6.60",203593052,"4,98,40,24,660.30",90977
